Created: 23/06/2025 14:41,Independent Slip Testing Services,,,,,,,
PO Box 777 Wynnum   Queensland   4178 Australia,,,,,,,,
General Journal,,,,,,,,
ABN: 62 109 478 088,,,,,,,,
01/07/2021 To 23/06/2025,,,,,,,,
Email: mick@sliptesting.com.au,,,,,,,,
ID No.,Account No.,Account Name,Debit,Credit,Job No.,Memo,Name,Payee
GJ000410,60032,Interest Expense,,£1.88,,EB: Amended general interest charge,,EB: Amended general interest charge
GJ000410,21103,ATO Running Balance A/c,£1.88,,,EB: Amended general interest charge,,EB: Amended general interest charge
GJ,24/02/2025,Recording MYOB fee for double payment received from Colliers on 24/02/2025 invoice #00076664,,,,,,
GJ000379,43006,Miscellaneous Receipts,,£10.65,,Recording MYOB fee for double payment received from Colliers on 24/02/2025 invoice #00076664,,Recording MYOB fee for double payment received from Colliers on 24/02/2025 invoice #00076664
GJ000379,60009,MYOB Fees,£9.68,,,Recording MYOB fee for double payment received from Colliers on 24/02/2025 invoice #00076664,,Recording MYOB fee for double payment received from Colliers on 24/02/2025 invoice #00076664
GJ000379,21101,GST Collected,£0.97,,,Recording MYOB fee for double payment received from Colliers on 24/02/2025 invoice #00076664,,Recording MYOB fee for double payment received from Colliers on 24/02/2025 invoice #00076664
GJ,03/03/2025,EB: ATO General Interest Charge,,,,,,
GJ000403,60032,Interest Expense,£125.10,,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ000403,21103,ATO Running Balance A/c,,£125.10,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ,03/03/2025,EB: Amended general interest charge,,,,,,
GJ000411,60032,Interest Expense,,£8.45,,EB: Amended general interest charge,,EB: Amended general interest charge
GJ000411,21103,ATO Running Balance A/c,£8.45,,,EB: Amended general interest charge,,EB: Amended general interest charge
GJ,19/03/2025,Mick transferred a pendulum from our equipment to be part of the inventory as used pendulum W4 (W1049),,,,,,
GJ000380,13330,Plant  and Equipment,"£3,850.00",,,Mick transferred a pendulum from our equipment to be part of the inventory as used pendulum W4 (W1049),,Mick transferred a pendulum from our equipment to be part of the inventory as used pendulum W4 (W1049)
GJ000380,61708,Expense Inventory,,"£3,850.00",,Mick transferred a pendulum from our equipment to be part of the inventory as used pendulum W4 (W1049),,Mick transferred a pendulum from our equipment to be part of the inventory as used pendulum W4 (W1049)
GJ,21/03/2025,EB: Feb 25 BAS,,,,,,
GJ000390,21102,GST Paid,,"£7,036.00",,EB: Feb 25 BAS,,EB: Feb 25 BAS
GJ000390,21101,GST Collected,"£23,673.00",,,EB: Feb 25 BAS,,EB: Feb 25 BAS
GJ000390,21203,PAYG Withholding Payable,"£16,554.00",,,EB: Feb 25 BAS,,EB: Feb 25 BAS
GJ000390,21103,ATO Running Balance A/c,,"£33,191.00",,EB: Feb 25 BAS,,EB: Feb 25 BAS
GJ,24/03/2025,EB: ATO General Interest Charge,,,,,,
GJ000404,60032,Interest Expense,£298.39,,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ000404,21103,ATO Running Balance A/c,,£298.39,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ,01/04/2025,EB: ATO General Interest Charge,,,,,,
GJ000405,60032,Interest Expense,£174.23,,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ000405,21103,ATO Running Balance A/c,,£174.23,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ,01/04/2025,EB: Amended general interest charge,,,,,,
GJ000412,60032,Interest Expense,,£1.57,,EB: Amended general interest charge,,EB: Amended general interest charge
GJ000412,21103,ATO Running Balance A/c,£1.57,,,EB: Amended general interest charge,,EB: Amended general interest charge
GJ,15/04/2025,Reclassification Elliot Benson deduction $88 for accommodation in CQLD,,,,,,
GJ000381,21201,Payroll Deductions Payable,£88.00,,,Reclassification Elliot Benson deduction $88 for accommodation in CQLD,,Reclassification Elliot Benson deduction $88 for accommodation in CQLD
GJ000381,61504,Accomodation,,£88.00,,Reclassification Elliot Benson deduction $88 for accommodation in CQLD,,Reclassification Elliot Benson deduction $88 for accommodation in CQLD
GJ,22/04/2025,EB: March 25 BAS,,,,,,
GJ000391,21102,GST Paid,,"£5,622.00",,EB: March 25 BAS,,EB: March 25 BAS
GJ000391,21101,GST Collected,"£14,451.00",,,EB: March 25 BAS,,EB: March 25 BAS
GJ000391,21203,PAYG Withholding Payable,"£16,391.00",,,EB: March 25 BAS,,EB: March 25 BAS
GJ000391,21106,Company Income Tax Payable,"£5,032.00",,,EB: March 25 BAS,,EB: March 25 BAS
GJ000391,60029,Fringe Benefits Tax,"£2,849.00",,,EB: March 25 BAS,,EB: March 25 BAS
GJ000391,21103,ATO Running Balance A/c,,"£33,101.00",,EB: March 25 BAS,,EB: March 25 BAS
GJ,22/04/2025,EB: ATO General Interest Charge,,,,,,
GJ000406,60032,Interest Expense,£337.81,,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ000406,21103,ATO Running Balance A/c,,£337.81,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ,23/04/2025,New Toyota Altitude registration Number: 750 MO6,,,,,,
GJ000413,11402,Motor vehicles Accum Depn,"£81,727.34",,,New Toyota Altitude registration Number: 750 MO6,,New Toyota Altitude registration Number: 750 MO6
GJ000413,11402,Motor vehicles Accum Depn,£472.02,,,New Toyota Altitude registration Number: 750 MO6,,New Toyota Altitude registration Number: 750 MO6
GJ000413,11402,Motor vehicles Accum Depn,£699.30,,,New Toyota Altitude registration Number: 750 MO6,,New Toyota Altitude registration Number: 750 MO6
GJ000413,11402,Motor vehicles Accum Depn,£129.49,,,New Toyota Altitude registration Number: 750 MO6,,New Toyota Altitude registration Number: 750 MO6
GJ000413,11401,Motor Vehicles at cost,£904.55,,,New Toyota Altitude registration Number: 750 MO6,,New Toyota Altitude registration Number: 750 MO6
GJ000413,62013,LCTLuxury car tax,"£3,527.69",,,New Toyota Altitude registration Number: 750 MO6,,New Toyota Altitude registration Number: 750 MO6
GJ000413,62015,M/V Insurance,£432.40,,,New Toyota Altitude registration Number: 750 MO6,,New Toyota Altitude registration Number: 750 MO6
GJ000413,62004,M/V Registration,£401.55,,,New Toyota Altitude registration Number: 750 MO6,,New Toyota Altitude registration Number: 750 MO6
GJ000413,11401,Motor Vehicles at cost,"£2,838.00",,,New Toyota Altitude registration Number: 750 MO6,,New Toyota Altitude registration Number: 750 MO6
GJ000413,11304,Deposit Account (RAV4),,"£5,000.00",,New Toyota Altitude registration Number: 750 MO6,,New Toyota Altitude registration Number: 750 MO6
GJ000413,11114,BOQ New Project 80942,,"£50,000.00",,New Toyota Altitude registration Number: 750 MO6,,New Toyota Altitude registration Number: 750 MO6
GJ000413,21308,ALTITUDE FINANCE 750MO6,,"£44,525.61",,New Toyota Altitude registration Number: 750 MO6,,New Toyota Altitude registration Number: 750 MO6
GJ000413,21102,GST Paid,"£8,393.27",,,New Toyota Altitude registration Number: 750 MO6,,New Toyota Altitude registration Number: 750 MO6
GJ,01/05/2025,EB: ATO General Interest Charge,,,,,,
GJ000407,60032,Interest Expense,£215.48,,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ000407,21103,ATO Running Balance A/c,,£215.48,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ,28/05/2025,Adjusting account's balance new pendulum was transferred to be part of the plant and equipment. WL012 (WM007),,,,,,
GJ000414,13330,Plant  and Equipment,"£3,850.00",,,Adjusting account's balance new pendulum was transferred to be part of the plant and equipment. WL012 (WM007) ,,Adjusting account's balance new pendulum was transferred to be part of the plant and equipment. WL012 (WM007) 
GJ000414,61708,Expense Inventory,,"£3,850.00",,Adjusting account's balance new pendulum was transferred to be part of the plant and equipment. WL012 (WM007) ,,Adjusting account's balance new pendulum was transferred to be part of the plant and equipment. WL012 (WM007) 
,,Grand Total:,"£3,887,604.98","£3,887,604.98",,,,
,,,,,,,,
* YearEnd Adjustments,,,,,,,,
